Discount Factor,Last Prices (Firm A)
0.1,55
0.1,47
0.1,55
0.1,52
0.1,53
0.1,50
0.1,54
0.1,50
0.1,47
0.1,51
0.1,50
0.1,47
0.1,48
0.1,53
0.1,47
0.1,53
0.1,48
0.1,55
0.1,54
0.1,47
0.1,49
0.1,54
0.1,53
0.1,53
0.1,55
0.1,55
0.1,53
0.1,47
0.1,46
0.1,53
0.1,50
0.1,54
0.1,50
0.1,40
0.1,49
0.1,52
0.1,46
0.1,44
0.1,53
0.1,47
0.1,54
0.1,48
0.1,54
0.1,52
0.1,51
0.1,53
0.1,40
0.1,49
0.1,54
0.1,55
0.1,52
0.1,53
0.1,53
0.1,55
0.1,46
0.1,51
0.1,49
0.1,50
0.1,52
0.1,53
0.1,52
0.1,48
0.1,54
0.1,52
0.1,48
0.1,54
0.1,54
0.1,55
0.1,45
0.1,54
0.1,55
0.1,55
0.1,53
0.1,47
0.1,52
0.1,52
0.1,53
0.1,49
0.1,53
0.1,45
0.1,52
0.1,51
0.1,52
0.1,49
0.1,42
0.1,53
0.1,51
0.1,48
0.1,49
0.1,53
0.1,55
0.1,50
0.1,52
0.1,48
0.1,48
0.1,55
0.1,48
0.1,55
0.1,54
0.1,51
0.5,52
0.5,55
0.5,36
0.5,53
0.5,55
0.5,50
0.5,53
0.5,46
0.5,54
0.5,41
0.5,49
0.5,44
0.5,54
0.5,47
0.5,45
0.5,50
0.5,42
0.5,54
0.5,47
0.5,55
0.5,52
0.5,50
0.5,48
0.5,53
0.5,49
0.5,53
0.5,52
0.5,50
0.5,52
0.5,55
0.5,53
0.5,53
0.5,42
0.5,55
0.5,49
0.5,55
0.5,53
0.5,55
0.5,46
0.5,55
0.5,48
0.5,46
0.5,52
0.5,45
0.5,55
0.5,53
0.5,43
0.5,54
0.5,55
0.5,47
0.5,55
0.5,54
0.5,51
0.5,54
0.5,50
0.5,50
0.5,54
0.5,51
0.5,44
0.5,48
0.5,51
0.5,45
0.5,54
0.5,49
0.5,50
0.5,55
0.5,54
0.5,52
0.5,43
0.5,42
0.5,51
0.5,49
0.5,55
0.5,55
0.5,53
0.5,54
0.5,54
0.5,55
0.5,52
0.5,55
0.5,53
0.5,55
0.5,53
0.5,55
0.5,53
0.5,50
0.5,54
0.5,51
0.5,47
0.5,54
0.5,50
0.5,51
0.5,54
0.5,49
0.5,47
0.5,55
0.5,55
0.5,53
0.5,52
0.5,55
0.9,53
0.9,54
0.9,55
0.9,48
0.9,49
0.9,55
0.9,53
0.9,41
0.9,52
0.9,53
0.9,54
0.9,55
0.9,50
0.9,50
0.9,48
0.9,45
0.9,54
0.9,44
0.9,51
0.9,48
0.9,55
0.9,51
0.9,52
0.9,52
0.9,46
0.9,50
0.9,55
0.9,54
0.9,55
0.9,55
0.9,43
0.9,54
0.9,53
0.9,51
0.9,55
0.9,53
0.9,51
0.9,47
0.9,47
0.9,55
0.9,55
0.9,47
0.9,47
0.9,49
0.9,51
0.9,50
0.9,50
0.9,51
0.9,50
0.9,55
0.9,50
0.9,47
0.9,55
0.9,55
0.9,52
0.9,50
0.9,43
0.9,55
0.9,50
0.9,44
0.9,49
0.9,39
0.9,54
0.9,54
0.9,48
0.9,47
0.9,52
0.9,50
0.9,50
0.9,46
0.9,50
0.9,50
0.9,51
0.9,50
0.9,54
0.9,54
0.9,53
0.9,51
0.9,53
0.9,54
0.9,45
0.9,55
0.9,49
0.9,44
0.9,51
0.9,52
0.9,43
0.9,47
0.9,50
0.9,51
0.9,54
0.9,53
0.9,47
0.9,46
0.9,51
0.9,40
0.9,48
0.9,51
0.9,50
0.9,53
